game_id,club_id,own_goals,own_position,opponent_id,opponent_goals,opponent_position,date,home_aggregate_market_value,away_aggregate_market_value,streak_5,streak_2,rest_days,win_lose,home_game
2221775,1,0,,33,5,,2012-08-19,,65877777.777777776,0.0,0.0,7.0,-1,1
2320460,1,3,,86,1,,2013-08-04,400000.0,39376666.666666664,0.0,0.0,350.0,1,1
2361069,1,2,,127,1,,2013-09-25,382222.22222222225,1372222.2222222222,3.0,3.0,52.0,1,1
2370752,1,0,,16,2,,2013-12-03,400000.0,68433333.33333333,6.0,6.0,69.0,-1,1
2864716,1,1,,89,2,,2017-08-13,,,6.0,3.0,1349.0,-1,1
3195542,1,3,,109,2,,2019-08-11,,,6.0,0.0,728.0,1,1
3245513,1,3,,3,2,,2019-10-29,,65011111.11111111,9.0,3.0,79.0,1,1
3279217,1,5,,48,3,,2020-02-05,,1000000.0,9.0,6.0,99.0,1,1
3319622,1,8,,38,7,,2020-03-03,,33580000.0,9.0,6.0,27.0,1,1
3332669,1,0,,15,3,,2020-06-09,,158334444.44444445,12.0,6.0,98.0,-1,1
4088612,1,2,,48,1,,2023-08-11,,,12.0,3.0,1158.0,1,1
4194144,1,2,,27,1,,2023-11-01,,445666666.6666667,12.0,3.0,82.0,1,1
4222798,1,2,,24,0,,2023-12-06,,105704444.44444445,12.0,6.0,35.0,1,1
4240125,1,2,,18,1,,2024-03-12,,99522222.22222222,12.0,6.0,97.0,1,1
4311215,1,0,,2,2,,2024-04-02,,1486956.5217391304,12.0,6.0,21.0,-1,1
4623577,1,1,,187,3,,2025-08-15,,4000000.0,12.0,3.0,500.0,-1,1
2221776,2,3,,30,1,,2012-08-19,150000.0,,0.0,0.0,7.0,1,0
2258321,2,0,,27,4,,2012-10-31,,120827777.77777778,3.0,3.0,73.0,-1,0
2320469,2,7,,18699,0,,2013-08-03,,,3.0,3.0,276.0,1,0
2361081,2,3,,44,1,,2013-09-25,,15116666.666666666,6.0,3.0,53.0,1,1
2370750,2,3,,89,0,,2013-12-03,,,9.0,6.0,69.0,1,0
2384437,2,1,,15,0,,2014-02-12,291666.6666666667,112808333.33333334,12.0,6.0,71.0,1,0
2425888,2,1,,27,5,,2014-04-16,111111.11111111111,336116666.6666667,12.0,6.0,63.0,-1,0
2458326,2,5,,108,3,,2014-08-16,1750000.0,,12.0,3.0,122.0,1,0
2488536,2,2,,65,0,,2014-10-28,,,12.0,3.0,73.0,1,1
2507893,2,0,,15,2,,2015-03-03,1875000.0,97191666.66666666,12.0,6.0,126.0,-1,0
2576669,2,5,,30,4,,2015-08-09,300000.0,,9.0,3.0,159.0,1,0
2615045,2,0,,80,1,,2015-10-27,300000.0,,9.0,3.0,79.0,-1,0
2699235,2,3,,440,4,,2016-08-20,500000.0,,9.0,3.0,298.0,-1,0
2864738,2,4,,4882,0,,2017-08-12,800000.0,,6.0,0.0,357.0,1,0
2914251,2,1,,79,3,,2017-10-25,,41550000.0,6.0,3.0,74.0,-1,1
3048432,2,1,,533,6,,2018-08-18,,61466666.666666664,6.0,3.0,297.0,-1,1
3195514,2,2,,39,0,,2019-08-10,,83130555.55555555,3.0,0.0,357.0,1,1
3245510,2,8,,4,7,,2019-10-30,,,6.0,3.0,81.0,1,1
3279211,2,2,,38,5,,2020-02-04,,39327777.777777776,9.0,6.0,97.0,-1,1
3422927,2,4,,109,5,,2020-09-13,,,6.0,3.0,222.0,-1,1
3601592,2,0,,18,1,,2021-08-09,,136333333.33333334,6.0,0.0,330.0,-1,1
3825604,2,1,,60,2,,2022-07-31,,97485000.0,6.0,0.0,356.0,-1,1
4088593,2,5,,22327,0,,2023-08-13,,,3.0,0.0,378.0,1,0
4194154,2,3,,3,2,,2023-10-31,,59300000.0,3.0,3.0,79.0,1,1
4240126,2,3,,44,1,,2024-01-31,809444.4444444445,2750000.0,6.0,6.0,92.0,1,0
4311215,2,2,,1,0,,2024-04-02,1486956.5217391304,,9.0,6.0,62.0,1,0
4323506,2,0,,15,1,,2024-05-25,,364444444.4444445,12.0,6.0,53.0,-1,1
4623597,2,7,,29476,0,,2025-08-17,600000.0,,12.0,3.0,449.0,1,0
4717147,2,1,,65,0,,2025-10-29,600000.0,,12.0,3.0,73.0,1,0
4761583,2,1,,44,6,,2025-12-02,600000.0,,12.0,6.0,34.0,-1,0
2221752,3,2,,66,1,,2012-08-18,,,0.0,0.0,7.0,1,0
2258315,3,4,,158,3,,2012-10-30,1750000.0,,3.0,3.0,73.0,1,0
2271116,3,1,,79,2,,2012-12-19,1750000.0,55380555.55555555,6.0,6.0,50.0,-1,0
2320467,3,2,,104,0,,2013-08-03,,,6.0,3.0,227.0,1,0
2361079,3,1,,39,0,,2013-09-24,,18583333.333333332,9.0,3.0,52.0,1,0
2370753,3,1,,41,2,,2013-12-03,,49519444.44444445,12.0,6.0,70.0,-1,0
2458336,3,4,,5460,0,,2014-08-16,18977777.777777776,,9.0,3.0,256.0,1,0
2460633,3,0,12.0,41,0,13.0,2014-08-23,19061111.111111112,51750000.0,9.0,3.0,7.0,0,1
2460642,3,2,4.0,79,0,16.0,2014-08-30,19877777.777777776,58488888.88888889,10.0,4.0,7.0,1,0
2460652,3,0,9.0,127,0,6.0,2014-09-13,20411111.111111112,11605555.555555556,10.0,4.0,14.0,0,0
2460660,3,0,8.0,18,0,7.0,2014-09-21,19568888.888888888,75480555.55555555,8.0,4.0,8.0,0,1
2460667,3,0,9.0,42,1,3.0,2014-09-24,19666666.666666668,39905555.55555555,9.0,2.0,3.0,-1,0
2460678,3,0,13.0,27,2,1.0,2014-09-27,19210000.0,266944444.44444445,6.0,1.0,3.0,-1,1
2460688,3,2,14.0,24,3,5.0,2014-10-04,20061111.111111112,35038888.88888889,5.0,0.0,7.0,-1,0
2460696,3,2,11.0,16,1,14.0,2014-10-18,19665555.555555556,207688888.8888889,2.0,0.0,14.0,1,1
2460705,3,1,10.0,86,0,18.0,2014-10-24,19836666.666666668,32472222.222222224,4.0,3.0,6.0,1,0
2488530,3,4,,52,1,,2014-10-28,19053333.333333332,,6.0,6.0,4.0,1,0
2460714,3,0,11.0,60,1,16.0,2014-11-02,20166111.111111112,31491666.666666664,9.0,6.0,5.0,-1,1
2460720,3,4,10.0,533,3,5.0,2014-11-08,21894444.444444444,88272222.22222222,9.0,3.0,6.0,1,0
2460732,3,1,11.0,44,2,13.0,2014-11-22,22805555.555555556,31711111.111111112,12.0,3.0,14.0,-1,1
2460735,3,1,12.0,15,5,3.0,2014-11-29,21376666.666666668,107936111.11111112,9.0,3.0,7.0,-1,0
2460750,3,1,12.0,167,2,3.0,2014-12-06,24283333.333333332,23564444.444444444,6.0,0.0,7.0,-1,1
2460752,3,2,11.0,33,1,6.0,2014-12-13,23788888.888888888,85311111.11111112,3.0,0.0,7.0,1,0
2460768,3,0,10.0,39,0,11.0,2014-12-16,23703333.333333332,39888888.88888889,6.0,3.0,3.0,0,1
