game_id,date,club_id,is_home,own_restday,opponent_restday,own_market_value,opponent_market_value,own_position,opponent_position,own_streak_2,opponent_streak_2,own_streak_5,opponent_streak_5,own_goals,opponent_goals,target_result
2460633,2014-08-23,3,1,7.0,5.0,22000000.0,51750000.0,12.0,13.0,3.0,3.0,9.0,3.0,0,0,1
2460642,2014-08-30,3,0,7.0,6.0,25000000.0,76300000.0,4.0,16.0,4.0,1.0,10.0,2.0,2,0,2
2460652,2014-09-13,3,0,14.0,14.0,27500000.0,14200000.0,9.0,6.0,4.0,4.0,10.0,7.0,0,0,1
2460660,2014-09-21,3,1,8.0,3.0,27500000.0,93750000.0,8.0,7.0,4.0,4.0,8.0,9.0,0,0,1
2460667,2014-09-24,3,0,3.0,4.0,25000000.0,45000000.0,9.0,3.0,2.0,3.0,9.0,10.0,0,1,0
2460678,2014-09-27,3,1,3.0,4.0,24100000.0,321000000.0,13.0,1.0,1.0,4.0,6.0,11.0,0,2,0
2460688,2014-10-04,3,0,7.0,6.0,24100000.0,43500000.0,14.0,5.0,0.0,4.0,5.0,6.0,2,3,0
2460696,2014-10-18,3,1,14.0,14.0,24000000.0,260500000.0,11.0,14.0,0.0,3.0,2.0,4.0,2,1,2
2460705,2014-10-24,3,0,6.0,6.0,24500000.0,40000000.0,10.0,18.0,3.0,1.0,4.0,1.0,1,0,2
2460714,2014-11-02,3,1,5.0,4.0,22600000.0,34750000.0,11.0,16.0,6.0,3.0,9.0,5.0,0,1,0
2460720,2014-11-08,3,0,6.0,6.0,28000000.0,98500000.0,10.0,5.0,3.0,3.0,9.0,10.0,4,3,2
2460732,2014-11-22,3,1,14.0,15.0,27800000.0,42500000.0,11.0,13.0,3.0,0.0,12.0,3.0,1,2,0
2460735,2014-11-29,3,0,7.0,3.0,25100000.0,128250000.0,12.0,3.0,3.0,3.0,9.0,7.0,1,5,0
2460750,2014-12-06,3,1,7.0,7.0,26250000.0,28100000.0,12.0,3.0,0.0,6.0,6.0,12.0,1,2,0
2460752,2014-12-13,3,0,7.0,3.0,26000000.0,99000000.0,11.0,6.0,0.0,6.0,3.0,12.0,2,1,2
2460768,2014-12-16,3,1,3.0,3.0,25500000.0,50500000.0,10.0,11.0,3.0,1.0,6.0,3.0,0,0,1
2460772,2014-12-20,3,0,4.0,3.0,29750000.0,147000000.0,11.0,2.0,4.0,2.0,4.0,11.0,1,2,0
2460787,2015-01-31,3,0,42.0,42.0,26500000.0,44500000.0,10.0,16.0,1.0,1.0,4.0,5.0,2,0,2
2460795,2015-02-04,3,1,4.0,4.0,33300000.0,54950000.0,10.0,16.0,3.0,1.0,7.0,5.0,0,0,1
2460805,2015-02-07,3,1,3.0,3.0,30950000.0,18900000.0,11.0,15.0,4.0,0.0,8.0,2.0,0,0,1
2460809,2015-02-14,3,0,7.0,8.0,31100000.0,106250000.0,11.0,3.0,2.0,3.0,6.0,9.0,0,1,0
2460822,2015-02-21,3,1,7.0,6.0,30300000.0,48200000.0,13.0,10.0,1.0,0.0,5.0,2.0,1,1,1
2460824,2015-02-27,3,0,6.0,6.0,31500000.0,316500000.0,13.0,1.0,1.0,4.0,6.0,11.0,1,4,0
2460840,2015-03-08,3,1,5.0,8.0,31600000.0,52800000.0,11.0,9.0,0.0,3.0,2.0,8.0,4,2,2
2460842,2015-03-14,3,0,6.0,7.0,28800000.0,222750000.0,12.0,10.0,3.0,4.0,4.0,10.0,0,0,1
2460858,2015-03-21,3,1,7.0,7.0,30800000.0,34750000.0,12.0,9.0,4.0,3.0,5.0,4.0,1,1,1
